datetime,discharge_m3s
2024-01-01 00:00:00,60.531214283541296
2024-01-01 01:00:00,60.531214283541296
2024-01-01 02:00:00,60.531214283541296
2024-01-01 03:00:00,60.531214283541296
2024-01-01 04:00:00,104.4074808049615
2024-01-01 05:00:00,120.47820983940386
2024-01-01 06:00:00,141.82711053884483
2024-01-01 07:00:00,158.06280051315096
2024-01-01 08:00:00,183.1526876971467
2024-01-01 09:00:00,172.92841376335173
2024-01-01 10:00:00,176.84758545703534
2024-01-01 11:00:00,161.46315870033578
2024-01-01 12:00:00,174.30534532439017
2024-01-01 13:00:00,156.56648981282424
2024-01-01 14:00:00,159.40473478969741
2024-01-01 15:00:00,173.63673918421594
2024-01-01 16:00:00,180.65972275332237
2024-01-01 17:00:00,220.24349498283098
2024-01-01 18:00:00,183.83431344359357
2024-01-01 19:00:00,201.44007815552735
2024-01-01 20:00:00,251.14695402647115
2024-01-01 21:00:00,278.502267761071
2024-01-01 22:00:00,302.3333575540498
2024-01-01 23:00:00,270.24264325180667
2024-01-02 00:00:00,287.88616828343635
2024-01-02 01:00:00,265.79109694986977
2024-01-02 02:00:00,307.80877334263073
2024-01-02 03:00:00,318.0974468521403
2024-01-02 04:00:00,333.68505883180717
2024-01-02 05:00:00,328.02526342175514
2024-01-02 06:00:00,293.9467931375759
2024-01-02 07:00:00,271.7782438373142
2024-01-02 08:00:00,365.59858431133057
2024-01-02 09:00:00,383.74183674436404
2024-01-02 10:00:00,425.67415086084145
2024-01-02 11:00:00,351.8382911389339
2024-01-02 12:00:00,412.7197321568611
2024-01-02 13:00:00,437.5754024688856
2024-01-02 14:00:00,363.5506126208477
2024-01-02 15:00:00,441.3359929624353
2024-01-02 16:00:00,520.3259317079309
2024-01-02 17:00:00,550.4641685097868
2024-01-02 18:00:00,535.2818255039577
2024-01-02 19:00:00,569.7152925497365
2024-01-02 20:00:00,476.1523510955751
2024-01-02 21:00:00,519.6495386848924
2024-01-02 22:00:00,581.0934394962578
2024-01-02 23:00:00,461.65419226491804
2024-01-03 00:00:00,540.0665764600184
2024-01-03 01:00:00,490.07807513612113
2024-01-03 02:00:00,515.6635506603421
2024-01-03 03:00:00,446.9586634694946
2024-01-03 04:00:00,488.8210606175634
2024-01-03 05:00:00,591.5364077291525
2024-01-03 06:00:00,652.1309737150614
2024-01-03 07:00:00,647.077565160006
2024-01-03 08:00:00,653.0391748927825
2024-01-03 09:00:00,665.8433571189543
2024-01-03 10:00:00,640.4071283626295
2024-01-03 11:00:00,599.5846197318656
2024-01-03 12:00:00,616.4974024084091
2024-01-03 13:00:00,657.085355954958
2024-01-03 14:00:00,612.6467629793248
2024-01-03 15:00:00,579.131629026967
2024-01-03 16:00:00,433.93565331874953
2024-01-03 17:00:00,508.4346803988238
2024-01-03 18:00:00,429.694420148239
2024-01-03 19:00:00,497.6667308590516
2024-01-03 20:00:00,533.2368785309053
2024-01-03 21:00:00,570.2873857893514
2024-01-03 22:00:00,539.4317523099687
2024-01-03 23:00:00,514.691240349542
2024-01-04 00:00:00,478.9189324522131
2024-01-04 01:00:00,503.7204042216869
2024-01-04 02:00:00,501.41749792183066
2024-01-04 03:00:00,515.2196966542336
2024-01-04 04:00:00,524.9178679365526
2024-01-04 05:00:00,448.10799331336773
2024-01-04 06:00:00,484.97778285189105
2024-01-04 07:00:00,341.35328484776494
2024-01-04 08:00:00,398.6421392043945
2024-01-04 09:00:00,400.9471485568034
2024-01-04 10:00:00,417.0335961113142
2024-01-04 11:00:00,293.1251801762791
2024-01-04 12:00:00,314.81179926737207
2024-01-04 13:00:00,338.46603231027296
2024-01-04 14:00:00,362.826822543806
2024-01-04 15:00:00,397.26347504091177
2024-01-04 16:00:00,326.4866054854656
2024-01-04 17:00:00,382.237455905116
2024-01-04 18:00:00,446.84320962608047
2024-01-04 19:00:00,363.383492383806
2024-01-04 20:00:00,357.2273702830884
2024-01-04 21:00:00,368.7951180028326
2024-01-04 22:00:00,351.27515698126444
2024-01-04 23:00:00,331.5728825878778
2024-01-05 00:00:00,323.16772504943197
2024-01-05 01:00:00,289.73156118367046
2024-01-05 02:00:00,218.6423994574354
2024-01-05 03:00:00,206.14683008486168
2024-01-05 04:00:00,264.6682556363037
2024-01-05 05:00:00,255.07180049916238
2024-01-05 06:00:00,277.7420712492245
2024-01-05 07:00:00,287.1510252178137
2024-01-05 08:00:00,299.5832305924803
2024-01-05 09:00:00,276.85466688297385
2024-01-05 10:00:00,271.24734184406276
2024-01-05 11:00:00,293.5403029365023
2024-01-05 12:00:00,249.0130857014552
2024-01-05 13:00:00,252.79165719972704
2024-01-05 14:00:00,234.77454553319126
2024-01-05 15:00:00,231.77832937341057
2024-01-05 16:00:00,211.8196831844708
2024-01-05 17:00:00,211.40008013887095
2024-01-05 18:00:00,182.0967482930085
2024-01-05 19:00:00,179.19898219249703
2024-01-05 20:00:00,154.70033748778303
2024-01-05 21:00:00,157.31610479662893
2024-01-05 22:00:00,168.71460154706244
2024-01-05 23:00:00,164.67231918032718
