Time_Step,Precipitation_mm,Evapotranspiration_mm,Runoff_mm,Storage_Change_mm
0,0.0,0.3,0.0,-0.3
1,0.5172413793103449,0.3,0.20689655172413796,0.010344827586206917
2,1.0344827586206897,0.3,0.4137931034482759,0.32068965517241377
3,1.5517241379310347,0.3,0.6206896551724139,0.6310344827586207
4,2.0689655172413794,0.3,0.8275862068965518,0.9413793103448276
5,2.586206896551724,0.3,1.0344827586206897,1.2517241379310347
6,3.1034482758620694,0.3,1.2413793103448278,1.5620689655172417
7,3.620689655172414,0.3,1.4482758620689657,1.8724137931034486
8,4.137931034482759,0.3,1.6551724137931036,2.1827586206896554
9,4.655172413793104,0.3,1.8620689655172418,2.4931034482758623
10,5.172413793103448,0.3,2.0689655172413794,2.803448275862069
11,5.689655172413794,0.3,2.2758620689655173,3.1137931034482764
12,6.206896551724139,0.3,2.4827586206896557,3.4241379310344833
13,6.724137931034483,0.3,2.6896551724137936,3.7344827586206897
14,7.241379310344828,0.3,2.8965517241379315,4.044827586206897
15,7.758620689655173,0.3,3.1034482758620694,4.355172413793103
16,8.275862068965518,0.3,3.3103448275862073,4.665517241379311
17,8.793103448275863,0.3,3.517241379310345,4.975862068965517
18,9.310344827586208,0.3,3.7241379310344835,5.2862068965517235
19,9.827586206896552,0.3,3.931034482758621,5.59655172413793
20,10.344827586206897,0.3,4.137931034482759,5.906896551724137
21,10.862068965517242,0.3,4.344827586206897,6.2172413793103445
22,11.379310344827587,0.3,4.551724137931035,6.527586206896552
23,11.896551724137932,0.3,4.7586206896551735,6.837931034482758
24,12.413793103448278,0.3,4.965517241379311,7.1482758620689655
25,12.931034482758621,0.3,5.172413793103448,7.458620689655172
26,13.448275862068966,0.3,5.379310344827587,7.768965517241378
27,13.965517241379311,0.3,5.586206896551725,8.079310344827586
28,14.482758620689657,0.3,5.793103448275863,8.389655172413793
29,15.0,0.3,6.0,8.7
30,15.0,0.3,6.0,8.7
31,14.655172413793103,0.3,5.862068965517242,8.49310344827586
