datetime,time_step,observed_m3s,simulated_m3s,residual_m3s,relative_error_pct
2024-01-01 00:00:00,0,21.340031501646845,483.9170471527535,-462.5770156511067,2167.649169662233
2024-01-01 01:00:00,1,21.340031501646845,37.66554785990079,-16.325516358253946,76.50183813924586
2024-01-01 02:00:00,2,31.890381029806605,37.998915939680415,-6.108534909873811,19.154788097904564
2024-01-01 03:00:00,3,34.25859331105123,38.53405621864101,-4.275462907589784,12.479972159891906
2024-01-01 04:00:00,4,40.70943249747964,39.42635728231316,1.2830752151664768,-3.151788508095546
2024-01-01 05:00:00,5,52.31455598961664,40.592631103256004,11.72192488636064,-22.406622142959982
2024-01-01 06:00:00,6,61.85681269914086,41.28843705761116,20.5683756415297,-33.251593064728624
2024-01-01 07:00:00,7,48.949577206975874,42.48378810575353,6.465789101222342,-13.209080588955308
2024-01-01 08:00:00,8,61.29648592384332,44.02390689416715,17.272579029676173,-28.17874266256661
2024-01-01 09:00:00,9,72.42771550074879,44.59611775975028,27.83159774099851,-38.42672317990035
2024-01-01 10:00:00,10,46.21050812914914,45.44622167155708,0.7642864575920569,-1.6539235090339819
2024-01-01 11:00:00,11,49.82976785350149,47.09977736374905,2.7299904897524385,-5.478633771240025
2024-01-01 12:00:00,12,72.18021364634403,48.395321852530245,23.784891793813784,-32.95209392195877
2024-01-01 13:00:00,13,65.018453406871,50.90326303150765,14.115190375363355,-21.70951420058185
2024-01-01 14:00:00,14,95.54047401200324,54.14609357955928,41.39438043244397,-43.32653868479172
2024-01-01 15:00:00,15,117.24415423319068,57.763558585416554,59.48059564777413,-50.73224847481201
2024-01-01 16:00:00,16,127.11285760210838,61.397155366434234,65.71570223567414,-51.6987057606548
2024-01-01 17:00:00,17,125.96571019786327,65.52821705399808,60.4374931438652,-47.97932155420054
2024-01-01 18:00:00,18,134.64412237645274,69.06173781235286,65.58238456409988,-48.70794462214808
2024-01-01 19:00:00,19,119.30982481078335,73.69891814489765,45.61090666588571,-38.22896122613646
2024-01-01 20:00:00,20,139.13292543497067,79.15828446209713,59.974640972873544,-43.106001534414
2024-01-01 21:00:00,21,156.31880189452417,83.3377403882839,72.98106150624027,-46.687321436537175
2024-01-01 22:00:00,22,128.67335122264902,89.6382313557779,39.03511986687111,-30.33659999989195
2024-01-01 23:00:00,23,164.79510949718411,96.2231250705911,68.57198442659302,-41.61044865701231
2024-01-02 00:00:00,24,171.37449495161215,102.53516518022079,68.83932977139136,-40.16894683822599
2024-01-02 01:00:00,25,163.1046567699239,109.31832640720265,53.78633036272126,-32.97657554841765
2024-01-02 02:00:00,26,166.98175862131328,115.70742059220395,51.27433802910933,-30.706550495369356
2024-01-02 03:00:00,27,157.0745955721027,121.77180604850759,35.30278952359512,-22.475174546854024
2024-01-02 04:00:00,28,147.22241632486993,128.96409799717964,18.25831832769029,-12.401860248917785
2024-01-02 05:00:00,29,162.26469727983525,135.66161935606792,26.60307792376733,-16.394864915002874
2024-01-02 06:00:00,30,153.49809411910653,140.70466526111798,12.793428857988545,-8.334584824265969
2024-01-02 07:00:00,31,123.56271279961328,145.74097969298643,-22.17826689337315,17.94899641718012
2024-01-02 08:00:00,32,117.7627831216661,152.6116042704849,-34.848821148818786,29.592389229468942
2024-01-02 09:00:00,33,143.9391755041137,159.9930918287166,-16.05391632460288,11.15326405641671
2024-01-02 10:00:00,34,153.56253006537955,166.35753551245352,-12.795005447073976,8.33211424793957
2024-01-02 11:00:00,35,137.7697695042233,172.45922600558978,-34.68945650136649,25.17929486722637
2024-01-02 12:00:00,36,130.16842421549302,181.4979347757001,-51.32951056020707,39.43315045070484
2024-01-02 13:00:00,37,169.85232562537078,190.94349802377855,-21.091172398407764,12.417358620644864
2024-01-02 14:00:00,38,178.86929353768556,201.62726735062938,-22.757973812943817,12.723242409491034
2024-01-02 15:00:00,39,194.66356428793333,213.5125066410738,-18.848942353140473,9.682830180413411
2024-01-02 16:00:00,40,210.1109860903205,226.14838303207395,-16.037396941753457,7.632821700650842
2024-01-02 17:00:00,41,218.8141742220529,238.6250113298732,-19.810837107820277,9.053726605350626
2024-01-02 18:00:00,42,214.4806982352986,250.277761469509,-35.797063234210384,16.690109426508297
2024-01-02 19:00:00,43,200.23408144310244,262.219551765246,-61.985470322143584,30.95650344607148
2024-01-02 20:00:00,44,199.0808182426792,275.4117226330648,-76.33090439038563,38.34166699944863
2024-01-02 21:00:00,45,211.6945201535327,392.367354535292,-180.67283438175932,85.34601379890479
2024-01-02 22:00:00,46,250.96956925662596,438.4661464649525,-187.49657720832653,74.70888911500029
2024-01-02 23:00:00,47,240.00197495274728,574.9038789953236,-334.9019040425763,139.54131173650273
2024-01-03 00:00:00,48,252.67721698702664,829.8384272044361,-577.1612102174095,228.4183817993543
2024-01-03 01:00:00,49,274.54891426163965,858.2042208752878,-583.6553066136481,212.58700227728315
2024-01-03 02:00:00,50,234.4758301813117,779.9470017822314,-545.4711716009197,232.63428523917645
2024-01-03 03:00:00,51,206.6311636553077,923.2806975939501,-716.6495339386424,346.8254842401813
2024-01-03 04:00:00,52,239.3543175031217,1111.2222217311316,-871.8679042280099,364.25827339280767
2024-01-03 05:00:00,53,250.78238185856264,1152.0987974043676,-901.316415545805,359.40180839901797
2024-01-03 06:00:00,54,225.8181016801627,1424.8965033078262,-1199.0784016276634,530.9930394003477
2024-01-03 07:00:00,55,260.3005737912279,1612.9356113718725,-1352.6350375806446,519.643509762493
2024-01-03 08:00:00,56,250.773473522542,2035.4405430300594,-1784.6670695075175,711.6650116293476
2024-01-03 09:00:00,57,288.0904252722324,2398.4368143165043,-2110.3463890442717,732.5291658166321
2024-01-03 10:00:00,58,284.6736949381197,2626.623244623603,-2341.9495496854834,822.678593536561
2024-01-03 11:00:00,59,262.7044998449425,2509.748492124649,-2247.043992279707,855.3504007757734
2024-01-03 12:00:00,60,203.67975100150545,2477.304144935117,-2273.624393933612,1116.274142497752
2024-01-03 13:00:00,61,205.86335785391,2772.113431894562,-2566.2500740406517,1246.5793333953968
2024-01-03 14:00:00,62,256.6025633505747,3177.192195627943,-2920.5896322773683,1138.1763276804097
2024-01-03 15:00:00,63,282.20407658369584,3354.7776106484007,-3072.5735340647047,1088.7771612871948
2024-01-03 16:00:00,64,251.91708986411012,3418.070272874668,-3166.1531830105578,1256.8234988418028
2024-01-03 17:00:00,65,229.68642193142452,3632.606173182745,-3402.9197512513206,1481.5502469132898
2024-01-03 18:00:00,66,248.767887529318,3693.8470188873275,-3445.0791313580094,1384.8568501237914
