datetime,discharge_m3s,fast_component_m3s,inter_component_m3s,base_component_m3s
2024-01-01 00:00:00,89.97793209394048,38.89156755162641,35.18509397756254,15.901270564751542
2024-01-01 01:00:00,76.52359917078743,28.811581873118712,32.15675464279328,15.555262654875436
2024-01-01 02:00:00,66.08751085989773,21.446540296461517,29.41881384573745,15.222156717698763
2024-01-01 03:00:00,58.643362641543696,16.615945491350825,27.098293402337994,14.929123747854883
2024-01-01 04:00:00,52.27602362379912,12.753449647874945,24.895003910958593,14.627570064965582
2024-01-01 05:00:00,48.361628325819495,10.826979258058712,23.15301269811913,14.381636369641644
2024-01-01 06:00:00,44.17429208427169,8.709196133484594,21.36028014245854,14.104815808328567
2024-01-01 07:00:00,42.25321480050626,8.299647299996527,20.058715332738807,13.89485216777092
2024-01-01 08:00:00,43.364433736425966,10.088181456444245,19.477026420369228,13.799225859612491
2024-01-01 09:00:00,42.87436377440195,10.52720118670685,18.687970497096384,13.659192090598713
2024-01-01 10:00:00,44.50565766990758,12.463844488274521,18.43505346447213,13.606759717160932
2024-01-01 11:00:00,44.98136509401669,13.39479816885326,18.057531405794993,13.529035519368431
2024-01-01 12:00:00,41.17501053893391,11.050337218592576,16.830878305497265,13.29379501484407
2024-01-01 13:00:00,39.171075069268454,10.120702338153338,15.94434464920302,13.106028081912095
2024-01-01 14:00:00,35.90613994133246,8.253840595377795,14.791773739815254,12.860525606139413
2024-01-01 15:00:00,32.982096103998984,6.686546401155407,13.684854556176177,12.6106951466674
2024-01-01 16:00:00,31.197202725864138,5.996210477990783,12.809990299082905,12.391001948790443
2024-01-01 17:00:00,30.35267979209427,5.992129865423879,12.157839805104112,12.20271012156628
2024-01-01 18:00:00,30.087842047795327,6.375096899072746,11.673975900408978,12.038769248313608
2024-01-01 19:00:00,27.187164849169903,4.736456781289242,10.673182373797479,11.777525694083181
2024-01-01 20:00:00,27.009426159153207,5.165369096306077,10.235886445651715,11.608170617195412
2024-01-01 21:00:00,25.185198798798268,4.309178782984876,9.495118440539128,11.380901575274267
2024-01-01 22:00:00,25.164652723695518,4.801497125144306,9.145462513182773,11.21769308536844
2024-01-01 23:00:00,23.440863027528,3.9679727934420495,8.477728761454213,10.995161472631734
2024-01-02 00:00:00,24.687813697633814,5.355181125133554,8.44996942907571,10.88266314342455
2024-01-02 01:00:00,27.06161381721228,7.485981989860345,8.745135267460949,10.830496559890983
2024-01-02 02:00:00,27.72478634353748,8.220096292772823,8.769533660156855,10.735156390607813
2024-01-02 03:00:00,30.48329722274016,10.465775054617922,9.286332320762925,10.731189847359316
2024-01-02 04:00:00,31.979926408549137,11.65627319284913,9.621170408795841,10.702482806904165
2024-01-02 05:00:00,33.31192651124446,12.666373390792188,9.96442798295881,10.68112513749346
2024-01-02 06:00:00,35.61116961252124,14.351444587885512,10.550338352236766,10.709386672398955
2024-01-02 07:00:00,37.10043311384154,15.359875546173223,11.016112444910748,10.724445122757567
2024-01-02 08:00:00,38.32885665451024,16.137425055731935,11.45065605197106,10.740775546807239
2024-01-02 09:00:00,43.602631566063785,19.90369520988503,12.774786252811593,10.92415010336716
2024-01-02 10:00:00,46.37553220246697,21.646366380637133,13.680593435508568,11.048572386321265
2024-01-02 11:00:00,49.38549282725277,23.510246128120873,14.674899269913208,11.20034742921869
2024-01-02 12:00:00,50.645670933984704,24.014064338177835,15.328803721561949,11.302802874244923
2024-01-02 13:00:00,55.0770198931585,26.88928127195692,16.653425209955195,11.53431341124638
